input/joystick/cobra.c 3 0
input/joystick/twidjoy.c 1 0
input/joystick/gf2k.c 1 1
input/joystick/grip_mp.c 7 3
input/joystick/grip.c 4 0
input/joystick/gamecon.c 18 1
input/joystick/iforce/iforce-serio.c 9 0
input/joystick/iforce/iforce-main.c 10 0
input/joystick/iforce/iforce-ff.c 6 0
input/joystick/iforce/iforce-packets.c 8 0
input/joystick/analog.c 6 1
input/joystick/db9.c 8 1
input/joystick/joydump.c 2 1
input/joystick/guillemot.c 0 1
input/joystick/adi.c 9 1
input/joystick/maplecontrol.c 1 0
input/joystick/walkera0701.c 2 0
input/joystick/xpad.c 1 0
input/joystick/turbografx.c 2 1
input/joystick/interact.c 1 1
input/joystick/sidewinder.c 3 3
input/joystick/a3d.c 1 1
input/joystick/spaceball.c 1 0
input/joystick/tmdc.c 11 1
input/sparse-keymap.c 4 0
input/gameport/ns558.c 1 0
input/gameport/gameport.c 2 1
input/gameport/lightning.c 5 1
input/ff-memless.c 2 0
input/tablet/wacom_wac.c 2 0
input/tablet/hanwang.c 2 0
input/tablet/gtco.c 1 1
input/tablet/aiptek.c 3 0
input/tablet/wacom_sys.c 2 0
input/mouse/sentelic.c 1 0
input/mouse/appletouch.c 10 0
input/mouse/bcm5974.c 2 1
input/mouse/synaptics.c 0 2
input/mouse/psmouse-base.c 6 1
input/mouse/gpio_mouse.c 2 1
input/mouse/vsxxxaa.c 1 1
input/mouse/elantech.c 2 0
input/mouse/logips2pp.c 1 0
input/mouse/pxa930_trkball.c 0 1
input/mouse/alps.c 1 0
input/mouse/hgpk.c 3 0
input/touchscreen/usbtouchscreen.c 7 1
input/touchscreen/tnetv107x-ts.c 0 1
input/touchscreen/wacom_w8001.c 1 0
input/touchscreen/ucb1400_ts.c 0 2
input/touchscreen/zylonite-wm97xx.c 1 0
input/touchscreen/stmpe-ts.c 0 1
input/touchscreen/ad7879-spi.c 1 0
input/touchscreen/wm831x-ts.c 1 0
input/touchscreen/mainstone-wm97xx.c 1 0
input/touchscreen/ads7846.c 1 2
input/touchscreen/wm9705.c 0 1
input/touchscreen/ad7877.c 1 0
input/touchscreen/wm9713.c 0 2
input/touchscreen/max11801_ts.c 1 0
input/touchscreen/lpc32xx_ts.c 0 1
input/touchscreen/st1232.c 1 0
input/touchscreen/wm9712.c 0 2
input/touchscreen/bu21013_ts.c 3 0
input/touchscreen/elo.c 1 0
input/touchscreen/tsc2007.c 0 1
input/touchscreen/tps6507x-ts.c 0 1
input/touchscreen/atmel-wm97xx.c 1 0
input/touchscreen/atmel_mxt_ts.c 7 1
input/touchscreen/intel-mid-touch.c 7 0
input/touchscreen/penmount.c 1 0
input/joydev.c 4 2
lguest/segments.c 1 0
lguest/interrupts_and_traps.c 1 0
lguest/hypercalls.c 1 0
lguest/lguest_user.c 2 0
lguest/core.c 1 1
lguest/page_tables.c 1 0
lguest/lguest_device.c 4 0
w1/w1_netlink.c 0 2
w1/w1.c 1 3
w1/w1_family.c 0 1
w1/w1_io.c 3 0
w1/w1_int.c 1 1
w1/slaves/w1_therm.c 3 1
w1/slaves/w1_ds2431.c 0 2
w1/slaves/w1_ds2423.c 2 0
w1/slaves/w1_ds2408.c 0 3
w1/slaves/w1_ds2433.c 2 1
w1/masters/ds2490.c 2 0
w1/masters/ds1wm.c 2 1
w1/masters/ds2482.c 3 0
w1/masters/mxc_w1.c 0 2
w1/masters/omap_hdq.c 4 3
uwb/hwa-rc.c 0 1
uwb/i1480/dfu/usb.c 1 1
uwb/i1480/dfu/phy.c 3 0
uwb/i1480/dfu/mac.c 2 3
uwb/allocator.c 17 0
uwb/est.c 1 0
uwb/uwbd.c 0 1
uwb/drp-ie.c 6 0
uwb/drp-avail.c 0 2
uwb/neh.c 0 1
uwb/whci.c 1 0
video/vt8500lcdfb.c 1 0
video/bf537-lq035.c 2 0
video/sis/sis_main.c 41 17
video/sis/initextlfb.c 0 1
video/sis/init301.c 48 4
video/sis/init.c 21 0
video/imxfb.c 1 1
video/igafb.c 1 1
video/pnx4008/sdum.c 1 0
video/pm2fb.c 9 5
video/maxinefb.c 1 0
video/ffb.c 3 1
video/valkyriefb.c 1 1
video/ep93xx-fb.c 2 0
video/tmiofb.c 1 3
video/s3c2410fb.c 2 0
video/sgivwfb.c 8 2
video/atafb_mfb.c 1 0
video/sysimgblt.c 0 2
video/au1200fb.c 7 2
video/s3fb.c 8 1
video/jz4740_fb.c 3 0
video/fbmem.c 20 2
video/modedb.c 1 0
video/ps3fb.c 1 0
video/matrox/matroxfb_accel.c 5 3
video/matrox/matroxfb_crtc2.c 8 1
video/matrox/matroxfb_maven.c 5 0
video/matrox/matroxfb_misc.c 7 2
video/matrox/matroxfb_g450.c 3 0
video/matrox/matroxfb_Ti3026.c 7 0
video/matrox/matroxfb_base.c 18 4
video/matrox/g450_pll.c 6 3
video/matrox/matroxfb_DAC1064.c 8 0
video/cirrusfb.c 0 1
video/cyber2000fb.c 2 1
video/da8xx-fb.c 1 0
video/pmagb-b-fb.c 4 0
video/pvr2fb.c 4 1
video/sysfillrect.c 0 8
video/gbefb.c 11 1
video/pxafb.c 5 2
video/via/lcd.c 2 0
video/via/viafbdev.c 8 1
video/via/viamode.c 2 0
video/via/via-gpio.c 2 0
video/via/dvi.c 1 0
video/via/via-core.c 1 0
video/via/hw.c 9 1
video/via/accel.c 0 2
video/via/via_utility.c 4 0
video/via/via_i2c.c 3 0
video/atafb_iplan2p4.c 12 0
video/cg14.c 1 0
video/sbuslib.c 2 0
video/leo.c 1 0
video/svgalib.c 8 7
video/offb.c 2 0
video/sh_mobile_meram.c 6 1
video/msm/msm_fb.c 1 0
video/msm/mddi.c 5 0
video/msm/mdp.c 1 0
video/epson1355fb.c 0 3
video/udlfb.c 7 10
video/tcx.c 2 0
video/platinumfb.c 0 1
video/neofb.c 4 1
video/cfbfillrect.c 0 9
video/tridentfb.c 3 2
video/fbcmap.c 5 0
video/bfin_adv7393fb.c 0 1
video/arcfb.c 6 4
video/omap2/omapfb/omapfb-ioctl.c 8 0
video/omap2/omapfb/omapfb-main.c 27 2
video/omap2/omapfb/omapfb-sysfs.c 16 2
video/omap2/displays/panel-tpo-td043mtea1.c 1 0
video/omap2/displays/panel-generic-dpi.c 1 0
video/omap2/displays/panel-dvi.c 1 0
video/omap2/displays/panel-taal.c 4 1
video/omap2/displays/panel-acx565akm.c 1 0
video/omap2/displays/panel-picodlp.c 1 1
video/omap2/dss/hdmi.c 1 0
video/omap2/dss/dss.c 1 3
video/omap2/dss/display.c 1 2
video/omap2/dss/dsi.c 22 6
video/omap2/dss/manager.c 19 3
video/omap2/dss/venc.c 0 1
video/omap2/dss/dispc.c 24 0
video/omap2/dss/ti_hdmi_4xxx_ip.c 2 2
video/omap2/dss/rfbi.c 7 0
video/omap2/dss/overlay.c 7 1
video/omap2/dss/core.c 3 1
video/omap2/vrfb.c 3 0
video/fsl-diu-fb.c 3 1
video/syscopyarea.c 0 8
video/pxa3xx-gcu.c 3 5
video/s3c-fb.c 10 0
video/vfb.c 0 4
video/omap/sossi.c 0 6
video/omap/lcd_mipid.c 2 1
video/omap/omapfb_main.c 9 3
video/omap/dispc.c 12 1
video/omap/rfbi.c 1 0
video/omap/hwa742.c 2 2
video/omap/blizzard.c 8 5
video/backlight/vgg2432a4.c 1 0
video/backlight/wm831x_bl.c 1 0
video/backlight/corgi_lcd.c 1 0
video/backlight/ams369fg06.c 4 1
video/backlight/ld9040.c 2 1
video/backlight/adp8860_bl.c 3 0
video/backlight/lms283gf05.c 1 0
video/backlight/ili9320.c 1 0
video/backlight/s6e63m0.c 3 1
video/backlight/adp8870_bl.c 3 0
video/vesafb.c 0 1
video/grvga.c 2 2
video/cg6.c 1 1
video/arkfb.c 8 2
video/smscufx.c 17 6
video/broadsheetfb.c 6 1
video/nvidia/nvidia.c 8 1
video/nvidia/nv_hw.c 9 2
video/nvidia/nv_i2c.c 1 0
video/nvidia/nv_accel.c 0 2
video/nvidia/nv_of.c 2 0
video/i810/i810_gtf.c 1 0
video/i810/i810_accel.c 1 1
video/i810/i810_dvt.c 0 0
video/i810/i810_main.c 11 3
video/metronomefb.c 7 1
video/hgafb.c 4 0
video/macmodes.c 1 1
video/amifb.c 10 24
video/mxsfb.c 0 1
video/savage/savagefb_driver.c 0 0
video/fb_defio.c 1 0
video/geode/lxfb_ops.c 2 0
video/geode/display_gx1.c 1 0
video/geode/suspend_gx.c 5 0
video/geode/lxfb_core.c 0 1
video/geode/gxfb_core.c 0 1
video/geode/video_gx.c 1 0
video/geode/video_cs5530.c 1 0
video/geode/gx1fb_core.c 0 1
video/sstfb.c 5 2
video/mx3fb.c 0 1
video/dnfb.c 2 0
video/intelfb/intelfb_i2c.c 1 0
video/intelfb/intelfbhw.c 17 2
video/intelfb/intelfbdrv.c 1 2
video/tdfxfb.c 5 1
video/controlfb.c 2 1
video/riva/riva_hw.c 5 3
video/riva/fbdev.c 11 2
video/riva/rivafb-i2c.c 1 0
video/gxt4500.c 4 0
video/vt8623fb.c 6 0
video/pm3fb.c 7 5
video/cfbcopyarea.c 0 8
video/kyro/STG4000OverlayDevice.c 0 2
video/kyro/STG4000VTG.c 1 0
video/kyro/fbdev.c 0 1
video/kyro/STG4000InitDevice.c 2 2
video/imsttfb.c 2 1
video/vermilion/vermilion.c 6 0
video/vermilion/cr_pll.c 0 0
video/acornfb.c 5 2
video/fb-puv3.c 2 0
video/c2p_planar.c 0 2
video/sh_mobile_hdmi.c 2 0
video/fbsysfs.c 2 0
video/uvesafb.c 10 3
video/sh_mobile_lcdcfb.c 16 1
video/mbx/mbxfb.c 4 0
video/cfbimgblt.c 0 2
video/macfb.c 1 2
video/nuc900fb.c 1 0
video/aty/mach64_ct.c 0 2
video/aty/radeon_pm.c 3 0
video/aty/mach64_cursor.c 2 0
video/aty/radeon_base.c 5 2
video/aty/mach64_gx.c 2 3
video/aty/atyfb_base.c 9 5
video/aty/mach64_accel.c 4 0
video/aty/radeon_monitor.c 6 1
video/aty/aty128fb.c 6 2
video/atafb_iplan2p8.c 12 0
video/sm501fb.c 3 0
video/atafb.c 3 3
video/fm2fb.c 1 1
video/console/fbcon.c 32 7
video/console/fbcon_cw.c 2 2
video/console/vgacon.c 10 2
video/console/fbcon_ccw.c 2 2
video/console/fonts.c 2 0
video/console/mdacon.c 1 0
video/console/sticon.c 0 2
video/console/fbcon_ud.c 1 3
video/console/bitblit.c 1 3
video/console/newport_con.c 10 2
video/console/sticore.c 2 7
video/sh7760fb.c 0 1
video/vgastate.c 3 0
video/carminefb.c 2 0
video/atafb_iplan2p2.c 12 0
video/fb_ddc.c 3 0
video/stifb.c 4 0
video/cg3.c 2 0
video/mb862xx/mb862xx-i2c.c 3 0
video/mb862xx/mb862xxfbdrv.c 0 1
video/mb862xx/mb862xxfb_accel.c 1 4
video/c2p_iplan2.c 0 2
video/s1d13xxxfb.c 3 1
video/hecubafb.c 1 0
video/w100fb.c 3 1
video/vga16fb.c 20 8
video/efifb.c 2 1
video/pmag-aa-fb.c 0 2
video/fbmon.c 17 1
video/cobalt_lcdfb.c 3 0
video/asiliantfb.c 1 1
video/tgafb.c 18 2
video/au1100fb.c 2 1
