mca 0,5
oprofile 0,53
virtio 2
base 4,2
misc 1,91
input 1,71
lguest 0,85
w1 1,31
uwb 1,02
video 2,54
nubus 7,67
zorro 1
edac 3,16
firmware 2,67
regulator 1,57
hwspinlock 0,33
virt 6
idle 1,5
of 5,13
pps 0,17
clk 0,33
ssb 3
hid 1,85
accessibility 0,33
bluetooth 1,76
devfreq 0,13
infiniband 2,84
ptp 0,14
parisc 2,8
memstick 2,71
scsi 3,73
staging 0,59
