hv/channel.c 
ide/ide-cd.c 3
ide/ns87415.c 1
ide/tx4939ide.c 1
ide/ide-dma-sff.c 1
ide/ide-taskfile.c 1
ide/buddha.c 1
ide/piix.c 1
ide/pmac.c 1
ide/sis5513.c 2
ide/au1xxx-ide.c 1
ide/sgiioc4.c 2
ide/ide-iops.c 2
mfd/omap-usb-host.c 3
mfd/menelaus.c 5
mfd/mc13xxx-core.c 1
mfd/wm831x-irq.c 1
mfd/stmpe.c 1
mfd/tc3589x.c 2
mfd/ucb1x00-ts.c 1
mfd/twl4030-power.c 1
mfd/tps6586x.c 1
mfd/twl4030-irq.c 1
mfd/ab5500-core.c 2
mmc/card/mmc_test.c 1
mmc/core/sdio_io.c 2
mmc/core/sdio_cis.c 1
mmc/core/sdio_bus.c 2
mmc/host/mmc_spi.c 1
mmc/host/dw_mmc.c 2
mmc/host/at91_mci.c 2
mmc/host/jz4740_mmc.c 1
mmc/host/sdhci.c 5
mmc/host/s3cmci.c 7
mmc/host/tifm_sd.c 2
mmc/host/omap.c 2
mmc/host/sdricoh_cs.c 2
mmc/host/wbsd.c 5
mmc/host/msm_sdcc.c 2
mmc/host/imxmmc.c 1
net/can/flexcan.c 2
net/can/bfin_can.c 1
net/can/c_can/c_can.c 3
net/can/mcp251x.c 1
net/can/sja1000/sja1000.c 1
net/can/softing/softing_fw.c 1
net/ppp/ppp_generic.c 1
net/ppp/ppp_async.c 1
net/ppp/ppp_mppe.c 1
net/ppp/pppoe.c 2
net/usb/sierra_net.c 5
net/usb/hso.c 2
net/usb/usbnet.c 3
net/wan/n2.c 3
net/wan/cycx_drv.c 1
net/wan/cycx_x25.c 1
net/wan/hdlc_fr.c 1
net/wan/dscc4.c 11
net/wan/pc300_drv.c 3
net/wan/farsync.c 3
net/wan/pc300_tty.c 1
net/wan/c101.c 3
net/wan/cosa.c 1
net/wan/z85230.c 2
net/wan/hdlc.c 2
net/wan/ixp4xx_hss.c 2
net/wan/sdla.c 1
net/wan/wanxl.c 5
net/caif/caif_hsi.c 1
net/caif/caif_spi.c 1
net/caif/caif_shmcore.c 1
net/cris/eth_v10.c 6
net/fddi/skfp/smttimer.c 3
net/fddi/skfp/ecm.c 1
net/fddi/skfp/smt.c 1
net/fddi/skfp/drvfbi.c 1
net/fddi/skfp/hwmtm.c 1
net/fddi/defxx.c 7
net/irda/donauboe.c 2
net/irda/bfin_sir.c 4
net/irda/w83977af_ir.c 1
net/irda/nsc-ircc.c 2
net/irda/smsc-ircc2.c 2
net/irda/pxaficp_ir.c 2
net/irda/sa1100_ir.c 2
net/irda/au1k_ir.c 1
net/hippi/rrunner.c 2
net/wimax/i2400m/usb-fw.c 2
net/appletalk/cops.c 1
net/appletalk/ipddp.c 1
net/macvtap.c 1
net/ethernet/hp/hp100.c 3
net/ethernet/ti/davinci_cpdma.c 1
net/ethernet/ti/tlan.c 1
net/ethernet/ti/davinci_emac.c 1
net/ethernet/ti/davinci_mdio.c 2
net/ethernet/adi/bfin_mac.c 2
net/ethernet/amd/declance.c 2
net/ethernet/amd/au1000_eth.c 2
net/ethernet/amd/nmclan_cs.c 5
net/ethernet/amd/pcnet32.c 2
net/ethernet/amd/ni65.c 3
net/ethernet/dec/tulip/uli526x.c 1
net/ethernet/dec/tulip/dmfe.c 1
net/ethernet/dec/tulip/de4x5.c 1
net/ethernet/ibm/ehea/ehea_qmr.c 1
net/ethernet/ibm/ehea/ehea_main.c 2
net/ethernet/ibm/emac/core.c 5
net/ethernet/ibm/iseries_veth.c 9
net/ethernet/rdc/r6040.c 1
net/ethernet/sfc/tx.c 1
net/ethernet/sfc/nic.c 4
net/ethernet/sfc/mtd.c 1
net/ethernet/sfc/filter.c 4
net/ethernet/sfc/mdio_10g.c 1
net/ethernet/sfc/falcon_boards.c 3
net/ethernet/sfc/falcon_xmac.c 1
net/ethernet/sgi/ioc3-eth.c 1
net/ethernet/sgi/meth.c 3
net/ethernet/sis/sis900.c 2
net/ethernet/sun/sungem.c 3
net/ethernet/sun/sunhme.c 1
net/ethernet/sun/sunbmac.c 4
net/ethernet/sun/sunqe.c 1
net/ethernet/via/via-rhine.c 2
net/ethernet/3com/typhoon.c 1
net/ethernet/3com/3c515.c 3
net/ethernet/8390/ne.c 3
net/ethernet/seeq/sgiseeq.c 1
net/ethernet/tile/tilepro.c 4
net/ethernet/realtek/atp.c 2
net/ethernet/realtek/8139cp.c 1
net/ethernet/apple/macmace.c 2
net/ethernet/apple/mace.c 1
net/ethernet/cisco/enic/enic_main.c 1
net/ethernet/intel/igb/e1000_nvm.c 2
net/ethernet/intel/igb/igb_ethtool.c 1
net/ethernet/intel/igb/igb_main.c 4
net/ethernet/intel/ixgb/ixgb_main.c 2
net/ethernet/intel/ixgbevf/vf.c 3
net/ethernet/intel/ixgbevf/mbx.c 2
net/ethernet/intel/ixgbevf/ethtool.c 2
net/ethernet/intel/ixgbevf/ixgbevf_main.c 3
net/ethernet/intel/e1000/e1000_hw.c 4
net/ethernet/intel/e1000/e1000_main.c 3
net/ethernet/intel/igbvf/vf.c 3
net/ethernet/intel/igbvf/mbx.c 2
net/ethernet/intel/igbvf/netdev.c 2
net/ethernet/intel/ixgbe/ixgbe_ethtool.c 1
net/ethernet/intel/ixgbe/ixgbe_phy.c 4
net/ethernet/intel/ixgbe/ixgbe_fcoe.c 1
net/ethernet/intel/ixgbe/ixgbe_sriov.c 1
net/ethernet/intel/e100.c 1
net/ethernet/intel/e1000e/lib.c 1
net/ethernet/intel/e1000e/netdev.c 1
net/ethernet/jme.c 2
net/ethernet/faraday/ftgmac100.c 2
net/ethernet/faraday/ftmac100.c 1
net/ethernet/korina.c 1
net/ethernet/marvell/mv643xx_eth.c 1
net/ethernet/marvell/sky2.c 1
net/ethernet/broadcom/bnx2x/bnx2x_dcb.c 2
net/ethernet/broadcom/bnx2x/bnx2x_sp.c 1
