 
diff -u -p a/i2c/busses/i2c-highlander.c b/i2c/busses/i2c-highlander.c 1
diff -u -p a/i2c/busses/i2c-ibm_iic.c b/i2c/busses/i2c-ibm_iic.c 1
diff -u -p a/i2c/busses/i2c-davinci.c b/i2c/busses/i2c-davinci.c 1
diff -u -p a/i2c/busses/i2c-s6000.c b/i2c/busses/i2c-s6000.c 1
diff -u -p a/i2c/busses/i2c-sh_mobile.c b/i2c/busses/i2c-sh_mobile.c 1
diff -u -p a/i2c/busses/i2c-stu300.c b/i2c/busses/i2c-stu300.c 1
diff -u -p a/dio/dio-driver.c b/dio/dio-driver.c 1
diff -u -p a/dma/ipu/ipu_irq.c b/dma/ipu/ipu_irq.c 2
diff -u -p a/dma/mv_xor.c b/dma/mv_xor.c 1
diff -u -p a/dma/coh901318_lli.c b/dma/coh901318_lli.c 4
diff -u -p a/dma/mxs-dma.c b/dma/mxs-dma.c 2
diff -u -p a/dma/ste_dma40.c b/dma/ste_dma40.c 3
diff -u -p a/dma/intel_mid_dma.c b/dma/intel_mid_dma.c 2
diff -u -p a/dma/ppc4xx/adma.c b/dma/ppc4xx/adma.c 4
diff -u -p a/dma/dmaengine.c b/dma/dmaengine.c 1
diff -u -p a/dma/imx-sdma.c b/dma/imx-sdma.c 2
diff -u -p a/dma/amba-pl08x.c b/dma/amba-pl08x.c 1
diff -u -p a/dma/ep93xx_dma.c b/dma/ep93xx_dma.c 1
diff -u -p a/dma/iop-adma.c b/dma/iop-adma.c 1
diff -u -p a/dma/pl330.c b/dma/pl330.c 2
diff -u -p a/dma/iovlock.c b/dma/iovlock.c 4
diff -u -p a/dma/coh901318.c b/dma/coh901318.c 6
diff -u -p a/gpu/drm/mga/mga_dma.c b/gpu/drm/mga/mga_dma.c 1
diff -u -p a/gpu/drm/ttm/ttm_bo.c b/gpu/drm/ttm/ttm_bo.c 3
diff -u -p a/gpu/drm/ttm/ttm_object.c b/gpu/drm/ttm/ttm_object.c 1
diff -u -p a/gpu/drm/ttm/ttm_memory.c b/gpu/drm/ttm/ttm_memory.c 1
diff -u -p a/gpu/drm/via/via_dmablit.c b/gpu/drm/via/via_dmablit.c 1
diff -u -p a/gpu/drm/i810/i810_dma.c b/gpu/drm/i810/i810_dma.c 1
diff -u -p a/gpu/drm/i915/i915_gem_execbuffer.c b/gpu/drm/i915/i915_gem_execbuffer.c 4
diff -u -p a/gpu/drm/i915/intel_i2c.c b/gpu/drm/i915/intel_i2c.c 1
diff -u -p a/gpu/drm/i915/i915_gem_evict.c b/gpu/drm/i915/i915_gem_evict.c 3
diff -u -p a/gpu/drm/i915/intel_bios.c b/gpu/drm/i915/intel_bios.c 1
diff -u -p a/gpu/drm/i915/i915_gem.c b/gpu/drm/i915/i915_gem.c 4
diff -u -p a/gpu/drm/radeon/r600_blit_kms.c b/gpu/drm/radeon/r600_blit_kms.c 3
diff -u -p a/gpu/drm/radeon/rs600.c b/gpu/drm/radeon/rs600.c 1
diff -u -p a/gpu/drm/radeon/radeon_i2c.c b/gpu/drm/radeon/radeon_i2c.c 2
diff -u -p a/gpu/drm/radeon/evergreen_blit_kms.c b/gpu/drm/radeon/evergreen_blit_kms.c 1
diff -u -p a/gpu/drm/radeon/r600_blit.c b/gpu/drm/radeon/r600_blit.c 2
diff -u -p a/gpu/drm/radeon/r100.c b/gpu/drm/radeon/r100.c 1
diff -u -p a/gpu/drm/radeon/r600.c b/gpu/drm/radeon/r600.c 2
diff -u -p a/gpu/drm/radeon/r600_cp.c b/gpu/drm/radeon/r600_cp.c 1
diff -u -p a/gpu/drm/radeon/radeon_combios.c b/gpu/drm/radeon/radeon_combios.c 2
diff -u -p a/gpu/drm/radeon/radeon_display.c b/gpu/drm/radeon/radeon_display.c 2
diff -u -p a/gpu/drm/radeon/evergreen.c b/gpu/drm/radeon/evergreen.c 2
diff -u -p a/gpu/drm/nouveau/nv50_graph.c b/gpu/drm/nouveau/nv50_graph.c 1
diff -u -p a/gpu/drm/nouveau/nv10_graph.c b/gpu/drm/nouveau/nv10_graph.c 1
diff -u -p a/gpu/drm/nouveau/nv04_graph.c b/gpu/drm/nouveau/nv04_graph.c 1
diff -u -p a/gpu/drm/nouveau/nv50_vram.c b/gpu/drm/nouveau/nv50_vram.c 1
diff -u -p a/gpu/drm/nouveau/nouveau_dma.c b/gpu/drm/nouveau/nouveau_dma.c 1
diff -u -p a/gpu/drm/nouveau/nouveau_util.c b/gpu/drm/nouveau/nouveau_util.c 2
diff -u -p a/gpu/drm/nouveau/nouveau_volt.c b/gpu/drm/nouveau/nouveau_volt.c 1
diff -u -p a/gpu/drm/nouveau/nouveau_bo.c b/gpu/drm/nouveau/nouveau_bo.c 3
diff -u -p a/gpu/drm/nouveau/nouveau_dp.c b/gpu/drm/nouveau/nouveau_dp.c 2
diff -u -p a/gpu/drm/nouveau/nouveau_vm.c b/gpu/drm/nouveau/nouveau_vm.c 3
diff -u -p a/gpu/drm/nouveau/nvc0_fifo.c b/gpu/drm/nouveau/nvc0_fifo.c 2
diff -u -p a/gpu/drm/nouveau/nv20_graph.c b/gpu/drm/nouveau/nv20_graph.c 1
diff -u -p a/gpu/drm/nouveau/nvc0_fbcon.c b/gpu/drm/nouveau/nvc0_fbcon.c 1
diff -u -p a/gpu/drm/nouveau/nvc0_fb.c b/gpu/drm/nouveau/nvc0_fb.c 1
diff -u -p a/gpu/drm/nouveau/nouveau_connector.c b/gpu/drm/nouveau/nouveau_connector.c 1
